epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93231,2.88307,36.3488,1.43007,0,0,0,0,2.0172,10.8767,0.70558,1.666e-05,1.666e-05,1.666e-05
2,7.39417,3.42681,13.2164,2.12577,0,0,0,0,2.8785,12.1457,1.06069,4.12377e-05,4.12377e-05,4.12377e-05
3,10.6502,3.92494,18.9887,2.30412,0,0,0,0,2.88001,12.0839,1.06453,6.53205e-05,6.53205e-05,6.53205e-05
4,14.036,2.99464,8.75883,2.3987,0,0,0,0,3.39153,12.8888,1.21714,8.89086e-05,8.89086e-05,8.89086e-05
5,17.2692,2.95933,9.8213,2.31568,0,0,0,0,2.62111,12.5237,1.01491,0.000112002,0.000112002,0.000112002
6,20.6999,3.21717,11.4373,1.74006,0,0,0,0,2.11102,12.6221,0.98464,0.0001346,0.0001346,0.0001346
7,24.0057,2.84668,10.1638,2.13779,0,0,0,0,2.09169,12.4594,0.95219,0.000156704,0.000156704,0.000156704
8,27.364,2.03554,17.8884,1.49957,0,0,0,0,2.42842,12.0009,0.89468,0.000178313,0.000178313,0.000178313
9,30.5885,2.12023,5.95551,1.6793,0,0,0,0,3.20007,11.651,1.02153,0.000199427,0.000199427,0.000199427
10,33.8683,2.50602,11.2681,1.38644,0,0,0,0,2.3598,10.5338,0.86563,0.000220046,0.000220046,0.000220046
11,37.144,3.2698,19.1959,1.5862,0,0,0,0,1.82666,10.0076,0.5047,0.000240171,0.000240171,0.000240171
12,40.4388,2.49212,7.814,1.90305,0,0,0,0,1.88493,10.6206,0.57432,0.0002598,0.0002598,0.0002598
13,43.586,1.81969,5.0652,1.71773,0,0,0,0,1.74432,10.069,0.44397,0.000278935,0.000278935,0.000278935
14,46.7915,1.69793,5.17568,1.54084,0,0,0,0,2.07987,10.142,0.64552,0.000297575,0.000297575,0.000297575
15,50.0725,2.76168,9.7738,1.74605,0,0,0,0,2.07987,10.142,0.64552,0.00031572,0.00031572,0.00031572
16,53.37,2.06734,4.95499,1.61901,0,0,0,0,2.46731,10.4433,1.06111,0.000333371,0.000333371,0.000333371
17,56.6081,1.62268,5.01618,1.51592,0,0,0,0,2.11727,10.2073,0.97207,0.000350526,0.000350526,0.000350526
18,60.5392,2.81647,7.61022,1.37267,0,0,0,0,2.11727,10.2073,0.97207,0.000367187,0.000367187,0.000367187
19,63.807,2.05198,5.69966,1.5323,0,0,0,0,2.02908,10.1303,0.93436,0.000383353,0.000383353,0.000383353
20,67.9692,2.71077,15.227,1.31584,0,0,0,0,1.93041,9.98603,0.86345,0.000399024,0.000399024,0.000399024
21,72.3607,2.06348,6.75003,1.53614,0,0,0,0,1.93041,9.98603,0.86345,0.000414201,0.000414201,0.000414201
22,76.2491,1.86541,4.01051,1.4804,0,0,0,0,3.02145,10.6754,1.14041,0.000428883,0.000428883,0.000428883
23,80.0255,1.67508,4.55491,1.49275,0,0,0,0,3.02145,10.6754,1.14041,0.000443069,0.000443069,0.000443069
24,83.4193,1.57027,4.77687,1.30426,0,0,0,0,3.03409,10.817,1.02942,0.000456761,0.000456761,0.000456761
25,86.5507,1.79206,4.696,1.50149,0,0,0,0,3.03409,10.817,1.02942,0.000469959,0.000469959,0.000469959
26,89.8197,1.6464,4.0223,1.35659,0,0,0,0,3.21696,11.0782,1.1738,0.000482661,0.000482661,0.000482661
27,92.9249,1.89139,4.00883,1.37838,0,0,0,0,3.21696,11.0782,1.1738,0.000494869,0.000494869,0.000494869
28,96.0905,2.14292,8.62078,1.30764,0,0,0,0,2.74576,11.0173,1.03361,0.000506581,0.000506581,0.000506581
29,99.2501,1.92824,10.5417,1.1591,0,0,0,0,2.74576,11.0173,1.03361,0.000517799,0.000517799,0.000517799
30,102.368,1.4742,4.81617,1.27116,0,0,0,0,2.74576,11.0173,1.03361,0.000528523,0.000528523,0.000528523
31,105.598,1.50919,3.49314,1.52488,0,0,0,0,2.10965,11.0237,0.89359,0.000538751,0.000538751,0.000538751
32,108.588,1.54861,4.35055,1.3114,0,0,0,0,2.10965,11.0237,0.89359,0.000548485,0.000548485,0.000548485
33,111.768,2.45337,9.99241,1.19339,0,0,0,0,2.04234,11.0187,0.88909,0.000557723,0.000557723,0.000557723
34,115.032,2.27221,12.1569,1.16175,0,0,0,0,2.04234,11.0187,0.88909,0.000560859,0.000560859,0.000560859
35,118.361,1.52636,4.43794,1.27027,0,0,0,0,2.04234,11.0187,0.88909,0.000552612,0.000552612,0.000552612
36,121.74,1.53259,3.95918,1.31772,0.01087,1,0.02618,0.00524,2.43737,10.6868,0.89874,0.000544365,0.000544365,0.000544365
37,124.846,2.69257,9.50658,1.2453,0.01087,1,0.02618,0.00524,2.43737,10.6868,0.89874,0.000536119,0.000536119,0.000536119
38,127.991,1.83634,5.48431,1.36212,0.01087,1,0.02618,0.00524,2.43737,10.6868,0.89874,0.000527872,0.000527872,0.000527872
39,131.295,1.63083,4.16177,1.25357,0.0098,1,0.06633,0.00663,2.29783,10.0528,0.74351,0.000519625,0.000519625,0.000519625
40,134.404,1.46687,6.22056,1.34589,0.0098,1,0.06633,0.00663,2.29783,10.0528,0.74351,0.000511379,0.000511379,0.000511379
41,137.46,1.06237,13.4616,0.87907,0,0,0,0,2.21842,9.71507,0.65809,0.000503132,0.000503132,0.000503132
42,140.557,2.08209,4.96115,1.42329,0,0,0,0,2.21842,9.71507,0.65809,0.000494885,0.000494885,0.000494885
43,143.933,1.12691,13.1364,0.98873,0,0,0,0,2.21842,9.71507,0.65809,0.000486639,0.000486639,0.000486639
44,147.563,1.90352,4.43533,1.54782,0,0,0,0,2.14645,9.51048,0.60413,0.000478392,0.000478392,0.000478392
45,151.114,1.67848,4.62081,1.23679,0,0,0,0,2.14645,9.51048,0.60413,0.000470145,0.000470145,0.000470145
46,154.836,2.39484,7.00538,1.33069,0,0,0,0,2.14645,9.51048,0.60413,0.000461898,0.000461898,0.000461898
47,158.512,2.21535,8.4011,1.19821,0,0,0,0,2.13346,9.4735,0.59987,0.000453652,0.000453652,0.000453652
48,162.008,1.6652,6.80171,1.20572,0,0,0,0,2.13346,9.4735,0.59987,0.000445405,0.000445405,0.000445405
49,165.568,1.36265,3.95246,1.34241,0,0,0,0,2.45898,9.59934,0.72014,0.000437158,0.000437158,0.000437158
50,169.11,2.0377,5.85414,1.33467,0,0,0,0,2.45898,9.59934,0.72014,0.000428912,0.000428912,0.000428912
51,172.555,1.54828,5.21294,1.39285,0,0,0,0,2.45898,9.59934,0.72014,0.000420665,0.000420665,0.000420665
52,176.092,1.66479,5.68961,1.18133,0,0,0,0,4.09459,10.1362,1.33794,0.000412418,0.000412418,0.000412418
53,179.848,0.81317,13.1309,0.81126,0,0,0,0,4.09459,10.1362,1.33794,0.000404172,0.000404172,0.000404172
54,183.303,1.2704,3.80768,1.18842,0,0,0,0,4.09459,10.1362,1.33794,0.000395925,0.000395925,0.000395925
55,186.766,1.59009,4.02418,1.35555,0,0,0,0,4.30926,10.0915,1.50405,0.000387678,0.000387678,0.000387678
56,190.183,2.11245,10.3344,1.26949,0,0,0,0,4.30926,10.0915,1.50405,0.000379431,0.000379431,0.000379431
57,193.516,2.04534,7.25763,1.11725,0,0,0,0,4.27394,10.0116,1.46755,0.000371185,0.000371185,0.000371185
58,196.77,1.32235,4.57148,1.13807,0,0,0,0,4.27394,10.0116,1.46755,0.000362938,0.000362938,0.000362938
59,200.01,2.13532,6.33198,1.10277,0,0,0,0,4.27394,10.0116,1.46755,0.000354691,0.000354691,0.000354691
